Date,Sum of Nitric oxide,Sum of Nitrogen dioxide,Sum of Nitrogen oxides as nitrogen dioxide
19/08/2012,218,984,1322
20/08/2012,82,920,1050
21/08/2012,197,989,1293
22/08/2012,67,863,972
23/08/2012,103,899,1061
24/08/2012,63,964,1068
25/08/2012,40,792,863
26/08/2012,132,720,927
27/08/2012,48,731,811
28/08/2012,52,754,839
29/08/2012,97,934,1087
30/08/2012,476,1178,1911
31/08/2012,520,1327,2124
01/09/2012,66,885,996
02/09/2012,90,836,977
03/09/2012,679,1518,2561
04/09/2012,747,1394,2538
05/09/2012,496,1451,2215
06/09/2012,699,1569,2645
07/09/2012,497,1796,2561
08/09/2012,732,1742,2868
09/09/2012,989,1565,3085
10/09/2012,52,722,803
11/09/2012,436,1302,1974
12/09/2012,312,1233,1715
13/09/2012,354,1248,1795
14/09/2012,717,1383,2478
15/09/2012,254,1285,1671
16/09/2012,33,772,835
17/09/2012,109,952,1118
18/09/2012,459,1371,2075
19/09/2012,614,1849,2794
20/09/2012,140,1279,1503
21/09/2012,481,1607,2348
22/09/2012,474,1284,2008
23/09/2012,436,1391,2061
24/09/2012,686,1254,2307
25/09/2012,135,944,1152
26/09/2012,688,1408,2472
27/09/2012,704,1804,2888
28/09/2012,171,1187,1457
29/09/2012,658,1723,2738
30/09/2012,72,858,972
01/10/2012,197,1084,1389
02/10/2012,129,888,1094
03/10/2012,255,1109,1503
04/10/2012,295,1235,1690
05/10/2012,432,1424,2086
06/10/2012,1385,1577,3697
07/10/2012,945,1403,2854
08/10/2012,1114,1582,3291
09/10/2012,835,1649,2934
10/10/2012,707,1618,2699
11/10/2012,1348,1428,3492
12/10/2012,234,1142,1507
13/10/2012,332,1504,2022
14/10/2012,636,1449,2432
15/10/2012,530,1322,2129
16/10/2012,208,1038,1362
17/10/2012,172,1072,1347
18/10/2012,183,1237,1524
19/10/2012,1146,1566,3323
20/10/2012,628,1415,2380
21/10/2012,712,1249,2343
22/10/2012,1212,1045,2905
23/10/2012,1468,1092,3344
24/10/2012,1581,1301,3726
25/10/2012,859,1266,2588
26/10/2012,677,1353,2395
27/10/2012,594,1264,2178
28/10/2012,208,1130,1450
29/10/2012,577,1639,2526
30/10/2012,520,1499,2299
31/10/2012,224,1182,1526
01/11/2012,278,1280,1713
02/11/2012,301,1363,1833
03/11/2012,235,1491,1853
04/11/2012,669,1762,2787
05/11/2012,1308,1838,3844
06/11/2012,1124,1806,3529
07/11/2012,432,1444,2112
08/11/2012,418,1596,2237
09/11/2012,281,1435,1862
10/11/2012,305,1493,1966
11/11/2012,724,1671,2785
12/11/2012,427,1532,2191
13/11/2012,279,1274,1705
14/11/2012,880,1507,2863
15/11/2012,1769,1546,4258
16/11/2012,808,1267,2506
17/11/2012,749,1318,2461
18/11/2012,474,1527,2251
19/11/2012,359,1291,1838
20/11/2012,186,1076,1363
21/11/2012,489,1533,2288
22/11/2012,133,892,1098
23/11/2012,406,1656,2283
24/11/2012,2492,2025,5846
25/11/2012,114,791,964
26/11/2012,755,1736,2900
27/11/2012,1171,1586,3386
28/11/2012,1233,1627,3518
29/11/2012,1746,1958,4641
30/11/2012,2428,2424,6146
01/12/2012,1634,1940,4441
02/12/2012,822,1938,3198
03/12/2012,505,1857,2635
04/12/2012,880,2073,3422
05/12/2012,1959,2192,5196
06/12/2012,855,1704,3018
07/12/2012,1264,1990,3935
08/12/2012,1258,1671,3598
09/12/2012,791,1604,2821
10/12/2012,1546,1666,4035
11/12/2012,3000,2049,6646
12/12/2012,4236,2765,9259
13/12/2012,2665,2003,6094
14/12/2012,822,1386,2642
15/12/2012,101,1261,1423
16/12/2012,100,1252,1412
17/12/2012,327,1563,2068
18/12/2012,1405,1822,3976
19/12/2012,1122,1657,3369
20/12/2012,768,1307,2490
21/12/2012,496,1635,2396
22/12/2012,292,1269,1720
23/12/2012,89,881,1019
24/12/2012,79,1039,1155
25/12/2012,63,682,784
26/12/2012,41,916,987
27/12/2012,622,1411,2369
28/12/2012,139,1097,1316
29/12/2012,38,827,889
30/12/2012,64,720,820
31/12/2012,22,833,873
01/01/2013,249.2137,1440.53757,1822.65984
02/01/2013,411.1316,1362.31872,1992.7117
03/01/2013,200.82071,1158.1104,1466.03117
04/01/2013,409.19807,1488.39292,2115.82123
05/01/2013,202.63504,1233.48826,1544.19094
06/01/2013,191.57012,1093.20907,1386.94577
07/01/2013,310.18169,916.9271,1392.53241
08/01/2013,181.37227,1025.11673,1303.21703
09/01/2013,1469.43324,1637.12853,3890.22805
10/01/2013,2667.51268,2041.21475,6131.34386
11/01/2013,2055.80839,2041.14527,5193.34086
12/01/2013,1051.53473,1600.75406,3213.0848
13/01/2013,1161.44315,1391.58171,3172.43633
14/01/2013,779.19072,1579.96072,2774.70314
15/01/2013,1677.88646,1531.77626,4104.49963
16/01/2013,2499.9207,1903.17735,5736.33561
17/01/2013,3448.20232,2343.84224,7631.01207
18/01/2013,1120.77525,1416.89366,3135.3917
19/01/2013,1020.57934,1481.26475,3046.13122
20/01/2013,1044.54516,1370.03947,2971.65302
21/01/2013,594.28431,1498.45984,2409.68308
22/01/2013,2516.78677,2264.57343,6123.59266
23/01/2013,1426.79916,1766.15394,3953.88211
24/01/2013,1155.87436,1846.5683,3618.8843
25/01/2013,732.4971,1642.84389,2765.99043
26/01/2013,347.05274,1429.98536,1962.12542
27/01/2013,74.81462,796.27274,910.98688
28/01/2013,138.29752,994.90227,1206.95551
29/01/2013,107.6391,831.84602,996.89033
30/01/2013,130.55076,955.26015,1155.43512
31/01/2013,137.34489,916.19013,1126.78268
01/02/2013,923.54491,1716.40675,3132.48915
02/02/2013,1087.75684,1527.02097,3194.8915
03/02/2013,266.51777,1380.57433,1789.22917
04/02/2013,453.99373,1302.72363,1998.8376
05/02/2013,241.81612,1144.1152,1514.89476
06/02/2013,1139.62683,1391.76371,3139.16715
07/02/2013,1061.92535,1559.66576,3187.92855
08/02/2013,1682.51521,1704.70321,4284.52387
09/02/2013,325.45727,1233.27371,1732.30124
10/02/2013,296.95835,992.79229,1448.12204
11/02/2013,1213.12565,1404.45842,3264.55846
12/02/2013,722.59635,1060.22769,2168.1933
