Date,Sum of Nitrogen oxides as nitrogen dioxide,Sum of Nitric oxide,Sum of Nitrogen dioxide
03-Jun,1362.73425,445.03131,680.36251
04-Jun,723.68908,193.92594,426.34011
05-Jun,840.28834,210.44864,517.60495
06-Jun,1445.01417,491.0799,692.03552
07-Jun,1577.83092,551.09971,732.82312
08-Jun,1579.67624,461.42307,872.17074
09-Jun,654.2228,156.58026,414.13648
10-Jun,575.39486,169.14622,316.04093
11-Jun,516.55257,154.49569,279.66252
12-Jun,768.86664,225.34259,423.34614
13-Jun,1737.33716,642.17805,752.67792
14-Jun,1284.80415,437.21767,614.4131
15-Jun,756.93664,222.69456,415.47642
16-Jun,749.23959,235.41379,388.27688
17-Jun,952.37001,299.44837,493.22227
18-Jun,1045.26755,356.52925,498.59705
19-Jun,618.85097,205.13146,304.32047
20-Jun,1204.40605,389.84418,606.65333
21-Jun,1860.28329,695.61344,793.69088
22-Jun,1753.59456,629.31597,788.65688
23-Jun,1485.98342,572.11068,608.7593
24-Jun,1520.25685,444.92647,838.0458
25-Jun,410.38786,81.85922,284.87215
26-Jun,236.36925,48.20275,162.45945
27-Jun,192.03939,54.70731,108.15605
28-Jun,134.3983,31.22888,86.51471
29-Jun,459.25247,110.02133,290.55548
30-Jun,1477.92282,475.98893,748.08335
01-Jul,1372.78075,489.29584,622.53759
02-Jul,1270.16305,468.94742,551.12042
03-Jul,698.45849,252.25756,311.66894
04-Jul,1117.38738,422.34481,469.80106
05-Jul,1016.28001,356.47054,469.69946
06-Jul,1076.34893,423.72764,426.6423
07-Jul,1147.34909,438.97035,474.27063
08-Jul,1288.68899,488.16959,540.17274
09-Jul,1060.388,360.6347,507.42254
10-Jul,1051.19938,350.0036,514.53472
11-Jul,705.34602,236.46425,342.77256
12-Jul,1195.27095,374.0326,621.7623
13-Jul,1270.67696,469.53885,550.72742
14-Jul,1339.93591,499.5525,573.96612
15-Jul,1516.10696,568.61474,644.24323
16-Jul,966.25121,303.37213,501.08715
17-Jul,564.13977,137.72426,352.96555
18-Jul,1121.4526,315.05038,638.38213
19-Jul,2170.11351,618.24177,1222.15608
20-Jul,1686.2055,555.06574,835.11664
21-Jul,973.56367,323.48983,477.55289
22-Jul,1146.92915,361.45393,592.7076
23-Jul,455.90544,97.13735,306.96358
24-Jul,396.15434,118.7161,214.12561
25-Jul,1210.46979,423.45794,561.17669
26-Jul,1443.29167,508.31905,663.88001
27-Jul,996.28398,327.73445,493.76483
28-Jul,1541.37227,474.12556,814.38987
29-Jul,519.85904,118.65394,337.92559
30-Jul,866.61259,273.402,447.40205
31-Jul,614.42582,186.7544,328.0731
01-Aug,554.59349,164.02251,303.09582
02-Aug,550.43355,178.16968,277.24389
03-Aug,832.76031,263.74089,428.36328
04-Aug,1498.83237,548.04903,658.50233
05-Aug,1582.17888,576.80029,697.76414
06-Aug,1108.75757,366.49354,546.80868
07-Aug,790.15959,240.23334,421.80697
08-Aug,1652.77205,579.58686,764.08455
09-Aug,1170.37891,438.21366,498.4607
10-Aug,971.26429,309.24167,497.10034
11-Aug,1311.4787,430.0865,652.02191
12-Aug,1583.06179,469.28559,863.50057
13-Aug,570.04998,134.63635,363.61047
14-Aug,568.97439,121.04216,383.37905
15-Aug,1928.54943,635.00872,954.88301
16-Aug,1057.27794,384.10297,468.32826
17-Aug,1283.12891,445.31305,600.32517
18-Aug,452.39497,117.62485,272.03932
19-Aug,864.5642,299.52707,405.2958
20-Aug,723.91698,235.37699,363.01069
21-Aug,829.82303,255.04353,438.76175
22-Aug,1180.25398,418.6146,538.38724
23-Aug,641.15202,191.53275,347.47263
24-Aug,1063.55872,349.19718,528.13052
25-Aug,1240.20603,413.6971,605.87937
26-Aug,1174.96089,395.29662,568.84782
27-Aug,1283.01712,416.27208,644.7422
28-Aug,903.31185,232.82196,546.32317
29-Aug,1506.97331,435.94214,838.53805
30-Aug,1710.16843,566.74799,841.16695
31-Aug,1634.44678,526.1383,827.71267
01-Sep,775.24739,246.21042,397.72998
02-Sep,1635.30073,520.232,837.62284
03-Sep,1801.27867,326.07446,1301.30488
04-Sep,1000.66112,148.22664,773.38343
05-Sep,1333.14583,258.26535,937.14445
06-Sep,1801.6028,315.28914,1318.16622
07-Sep,1515.34627,330.6983,1008.28268
08-Sep,1498.23673,346.52481,966.90617
09-Sep,1142.81318,353.11695,601.37478
10-Sep,1223.31562,363.13031,666.52355
11-Sep,468.12195,129.31735,269.83814
12-Sep,1695.30235,604.27401,768.76181
13-Sep,1429.3113,465.67744,715.28252
14-Sep,1416.67019,496.38737,655.55348
15-Sep,1286.12778,438.80649,613.30059
16-Sep,1088.48052,376.88737,510.59464
17-Sep,1255.23851,445.23376,572.55627
18-Sep,972.34119,322.05714,478.52718
19-Sep,818.00726,255.81641,425.76093
20-Sep,1287.77356,469.63944,567.66984
21-Sep,917.87346,310.04573,442.47669
22-Sep,1980.77422,770.93617,798.68862
23-Sep,2008.22173,790.09449,796.76038
24-Sep,1560.73372,538.41179,735.18046
25-Sep,771.69529,234.56844,412.02877
26-Sep,1031.57736,351.3072,492.91381
27-Sep,1494.8791,539.71561,667.32673
28-Sep,1282.18521,432.89367,618.4242
29-Sep,1615.05952,541.49618,784.777
30-Sep,973.3123,332.2333,463.89506
01-Oct,1539.10321,542.1488,707.81997
02-Oct,1329.81534,451.86889,636.95941
03-Oct,833.04843,298.49843,375.35722
04-Oct,1319.76801,463.65418,608.84152
05-Oct,1396.80706,482.59608,656.83675
06-Oct,877.41192,317.98356,389.84398
07-Oct,1657.84961,608.38424,725.00678
08-Oct,1476.15036,516.47692,684.23013
09-Oct,272.17968,68.62972,166.94892
10-Oct,1927.34228,715.27737,830.59892
11-Oct,1257.36168,451.59045,564.93268
12-Oct,1265.05474,412.66119,632.31645
