Date,Sum of Nitric oxide,Sum of Nitrogen dioxide,Sum of Nitrogen oxides as nitrogen dioxide
03/01/2013,2322.27501,1824.72453,5385.49526
04/01/2013,2562.65302,1627.13253,5556.47974
05/01/2013,2010.90798,1468.84082,4552.19335
06/01/2013,863.48532,1106.43689,2430.42877
07/01/2013,1683.68851,1295.03598,3876.6552
08/01/2013,1880.95918,1605.59411,4489.68878
09/01/2013,3093.62167,1850.37499,6593.86202
10/01/2013,2398.66322,1715.82201,5393.71997
11/01/2013,1085.1826,1134.05255,2797.97515
12/01/2013,393.16797,629.07164,1231.92282
13/01/2013,501.3514,789.6751,1558.4031
14/01/2013,3160.1227,1947.27516,6792.72898
15/01/2013,3662.15242,1970.59411,7585.81729
16/01/2013,3369.23348,1836.1943,7002.27715
17/01/2013,614.21625,886.3762,1828.1613
18/01/2013,377.28031,553.59243,1132.08364
19/01/2013,1011.77515,1372.07945,2923.44659
20/01/2013,620.77229,1370.24969,2322.08777
21/01/2013,599.21582,1115.74628,2034.5314
22/01/2013,979.65281,1347.66735,2849.78151
23/01/2013,4583.03422,2382.54293,9409.7651
24/01/2013,2665.81492,1812.41554,5899.94021
25/01/2013,638.18019,935.97527,1914.50463
26/01/2013,1249.39185,1315.25639,3230.96517
27/01/2013,396.35122,710.92838,1318.65976
28/01/2013,454.26377,688.17551,1384.70201
29/01/2013,1213.35039,1165.14506,3025.58981
30/01/2013,1222.58531,1106.00658,2980.60967
31/01/2013,2370.01583,1877.6393,5511.61339
01/02/2013,2336.48926,1725.29351,5307.85992
02/02/2013,1733.92726,1576.78533,4235.43683
03/02/2013,669.98597,958.95477,1986.25143
04/02/2013,1916.78645,1600.54322,4539.57536
05/02/2013,1254.9054,1160.02259,3084.18678
06/02/2013,1420.88041,1206.10031,3384.75555
07/02/2013,2423.84681,1903.78666,5620.29937
08/02/2013,2185.06431,1651.45605,5001.8418
09/02/2013,1840.53752,1554.1106,4376.22842
10/02/2013,240.79823,505.49418,874.71143
11/02/2013,550.11022,893.20573,1736.69773
12/02/2013,448.78668,809.57468,1497.70462
13/02/2013,284.75267,612.07763,1048.69274
14/02/2013,1707.49215,1571.05437,4189.17007
15/02/2013,3505.70742,2119.65291,7494.99918
16/02/2013,786.63385,1007.93325,2214.08782
17/02/2013,288.5425,663.97667,1106.40118
18/02/2013,2628.7513,1696.26125,5726.95937
19/02/2013,3011.09831,1748.68687,6365.64079
20/02/2013,297.12131,501.80447,957.38415
21/02/2013,416.34045,711.4382,1349.81879
22/02/2013,1606.48289,1464.58599,3927.82551
23/02/2013,1790.93114,1759.358,4505.41317
24/02/2013,1181.68089,1314.97047,3126.85485
25/02/2013,3514.42938,2083.69598,7472.41132
26/02/2013,1426.15587,1298.28438,3485.02297
27/02/2013,2982.53506,2056.65294,6629.8103
28/02/2013,2215.06167,1756.70698,5153.08621
01/03/2013,1892.00683,1760.35331,4661.39063
02/03/2013,1772.23399,1758.94729,4476.33399
03/03/2013,661.3724,1047.44214,2061.53269
04/03/2013,543.99753,793.75652,1627.87541
05/03/2013,2373.60192,1565.56836,5205.03919
06/03/2013,1879.5182,1899.10885,4780.99594
07/03/2013,1341.64051,1234.86157,3292.01623
08/03/2013,955.81994,1388.16041,2853.73015
09/03/2013,962.93995,1464.75603,2941.2433
10/03/2013,548.10668,978.06351,1818.48043
11/03/2013,1666.12247,1541.14798,4095.83186
12/03/2013,1442.04389,1394.95087,3606.05079
13/03/2013,1680.05439,1566.72449,4142.76977
14/03/2013,1229.6527,1314.7706,3200.21213
15/03/2013,610.31825,936.80978,1872.61801
16/03/2013,1446.47013,1338.17497,3556.06551
17/03/2013,672.7684,1134.87701,2166.44164
18/03/2013,795.03132,1401.79333,2620.8233
19/03/2013,1063.86719,1523.88066,3155.12349
20/03/2013,1243.81444,1595.30518,3502.46186
21/03/2013,739.38977,1191.44032,2325.15762
22/03/2013,376.82795,638.37771,1216.17558
23/03/2013,334.37297,765.50794,1278.20501
24/03/2013,300.20155,938.93409,1399.23809
25/03/2013,851.63557,1578.91139,2884.73331
26/03/2013,1194.51427,1742.01115,3573.57421
27/03/2013,1673.51615,1705.32685,4271.35098
28/03/2013,2156.30004,1950.16367,5256.44525
29/03/2013,1893.9111,1905.32461,4809.2812
30/03/2013,1370.13038,1712.81811,3813.65685
31/03/2013,585.89426,1091.54633,1989.90708
01/04/2013,1072.41608,1395.24638,3039.59475
02/04/2013,2082.72336,1516.53842,4710.003
03/04/2013,2031.50507,1400.35305,4515.28408
04/04/2013,1837.39036,1253.65317,4070.94576
05/04/2013,2206.46572,1624.54905,5007.7493
06/04/2013,1312.49524,1223.63424,3236.09887
07/04/2013,912.92653,1167.2394,2567.04054
08/04/2013,823.85996,1641.28745,2904.52174
09/04/2013,1872.07373,2498.60506,5369.07806
10/04/2013,1113.87309,1904.68586,3612.60078
11/04/2013,811.05225,1580.66149,2824.2576
12/04/2013,2845.17769,2521.73054,6884.27549
13/04/2013,852.77995,1090.39738,2397.97506
14/04/2013,162.81331,421.12679,670.77033
15/04/2013,1057.68212,1091.42266,2713.1793
16/04/2013,775.34516,900.29249,2089.13851
17/04/2013,712.66127,984.44456,2077.17662
18/04/2013,1827.10076,1487.41566,4288.93106
19/04/2013,1497.30278,1331.40807,3627.24034
20/04/2013,362.07823,667.31203,1222.49088
21/04/2013,245.522,451.3685,827.83025
22/04/2013,721.95911,884.23306,1991.22154
23/04/2013,1511.74474,1339.52344,3657.49976
24/04/2013,1616.40238,1473.0558,3951.50484
25/04/2013,1443.56506,1531.68555,3745.12109
26/04/2013,1805.59141,1664.61894,4433.15381
27/04/2013,916.11338,931.1569,2335.8445
28/04/2013,574.23917,796.20738,1676.69514
29/04/2013,1023.489,1029.61207,2598.93991
30/04/2013,948.65907,948.3748,2402.96508
01/05/2013,1118.35766,1289.05194,3003.8431
02/05/2013,360.3164,683.90236,1236.37979
03/05/2013,1840.08079,1591.21515,4412.633
04/05/2013,516.39406,830.75751,1622.55065
05/05/2013,220.31882,411.52075,749.33824
06/05/2013,398.4317,582.66053,1193.58058
07/05/2013,1989.48373,1231.21046,4281.70964
08/05/2013,1462.08,1969.48695,4211.31163
09/05/2013,435.78177,731.83136,1400.02077
10/05/2013,1403.11688,1398.85018,3550.26605
11/05/2013,805.75954,976.93385,2212.41462
12/05/2013,573.52476,812.16479,1691.55716
13/05/2013,826.18753,838.97552,2105.77867
14/05/2013,621.80941,847.36945,1800.79726
15/05/2013,2504.72207,1959.37122,5799.89149
16/05/2013,661.07003,862.95429,1876.5809
17/05/2013,2303.63599,1769.63421,5301.82675
18/05/2013,1103.29881,1255.73252,2947.43378
19/05/2013,1164.86035,1500.07514,3286.1694
20/05/2013,1129.99477,1214.51195,2947.14641
21/05/2013,1296.63281,1247.01472,3235.15728
22/05/2013,948.59785,980.54464,2435.04106
23/05/2013,1067.63276,821.6422,2458.65632
24/05/2013,1271.99652,1365.44804,3315.81554
25/05/2013,1055.94754,1198.39721,2817.49422
26/05/2013,438.02828,691.56032,1363.19434
27/05/2013,214.18042,423.60491,752.0103
28/05/2013,810.83761,1262.79348,2506.06047
29/05/2013,1262.03683,1429.03102,3364.1272
30/05/2013,1302.65395,1405.81485,3403.1897
31/05/2013,2161.4334,1784.70658,5098.85825
01/06/2013,989.67446,1087.2199,2604.69956
02/06/2013,501.20047,688.09184,1456.58854
03/06/2013,1772.55011,1444.69965,4162.57184
04/06/2013,1664.19509,1324.82224,3876.55241
05/06/2013,1703.13752,1265.86431,3877.30543
06/06/2013,876.21434,837.42065,2180.93056
07/06/2013,1285.54784,1044.4126,3015.55843
08/06/2013,1236.57189,1094.74911,2990.79954
09/06/2013,385.3807,801.68558,1392.59436
10/06/2013,352.36394,566.39741,1106.6812
11/06/2013,278.03212,584.95072,1011.26067
12/06/2013,888.23935,1032.20481,2394.15278
13/06/2013,1508.92106,1180.53845,3494.18517
14/06/2013,467.54483,617.8784,1334.77042
15/06/2013,362.48982,586.26079,1142.07072
16/06/2013,729.1502,1094.35577,2212.37044
17/06/2013,326.74615,609.40221,1110.40596
18/06/2013,343.30665,601.82744,1128.22361
19/06/2013,1791.78837,1569.77332,4317.1438
20/06/2013,714.89125,791.70423,1887.85552
21/06/2013,385.35668,742.37736,1333.24935
22/06/2013,484.75507,663.27654,1406.55721
23/06/2013,638.34508,765.27031,1744.05245
24/06/2013,1379.54896,1166.51362,3281.79249
25/06/2013,1283.52567,1133.59343,3101.63865
26/06/2013,1435.53129,1221.16312,3422.28044
27/06/2013,1343.65746,1123.00011,3183.24614
28/06/2013,1714.55636,1214.54763,3843.49738
29/06/2013,892.38029,918.01865,2286.31599
30/06/2013,420.1523,514.68897,1158.91349
01/07/2013,1217.78215,1131.86693,2999.10679
02/07/2013,399.94956,573.6123,1186.85972
03/07/2013,1878.34442,1127.9968,4008.08476
04/07/2013,913.23698,874.59455,2274.87174
05/07/2013,790.7377,847.8994,2060.34691
06/07/2013,376.55054,580.65507,1158.02449
07/07/2013,397.94859,618.72434,1228.90365
08/07/2013,296.56272,535.35513,990.07831
09/07/2013,1799.32339,1087.9068,3846.83086
10/07/2013,1299.94638,1146.98412,3140.20738
11/07/2013,734.45973,727.1647,1853.32057
12/07/2013,1475.1814,1143.54973,3405.46301
13/07/2013,1020.50816,915.53129,2480.28859
14/07/2013,552.04283,764.48619,1610.94003
15/07/2013,1225.79073,1019.0911,2898.61068
16/07/2013,1475.90716,1131.95124,3394.97724
17/07/2013,1304.99656,1103.43744,3104.40427
18/07/2013,1141.06654,906.05787,2655.66884
19/07/2013,1425.98186,1284.93129,3471.40634
20/07/2013,397.20092,619.19118,1228.22408
21/07/2013,352.81929,760.86789,1301.84991
22/07/2013,837.17532,862.75092,2146.40179
23/07/2013,638.61407,1014.67751,1993.87211
24/07/2013,532.64368,1257.99804,2074.70694
25/07/2013,1695.28276,1833.00058,4432.39789
26/07/2013,758.90724,1023.90917,2187.55067
27/07/2013,676.02611,780.33715,1816.89603
28/07/2013,728.35649,995.06628,2111.86395
29/07/2013,960.28111,834.10227,2306.51276
30/07/2013,1469.0446,1054.96881,3307.47241
31/07/2013,970.72891,753.02409,2241.45431
01/08/2013,1436.8526,1221.36728,3424.51054
02/08/2013,745.34137,774.821,1917.66184
03/08/2013,433.42554,566.2766,1230.85311
04/08/2013,364.89857,574.28009,1133.78341
05/08/2013,1894.05761,1390.33666,4294.51781
06/08/2013,703.58986,713.04151,1791.86428
07/08/2013,858.44756,455.05309,1771.321
08/08/2013,303.27789,484.98275,950.00234
09/08/2013,1384.05513,1164.89752,3287.08578
10/08/2013,811.6945,884.66657,2129.24746
11/08/2013,857.57613,855.52151,2170.4532
12/08/2013,1480.38993,1061.41216,3331.31171
13/08/2013,1528.30599,1237.8253,3581.19515
14/08/2013,785.09057,710.44135,1914.23002
15/08/2013,662.15124,620.87017,1636.15458
16/08/2013,1379.58688,1100.74974,3216.08677
17/08/2013,362.63833,475.98938,1032.02709
18/08/2013,619.0822,718.91802,1668.16414
19/08/2013,1160.01541,1122.46953,2901.13502
20/08/2013,985.37074,841.81446,2352.69519
21/08/2013,714.76925,855.74464,1951.70881
22/08/2013,1712.37775,1582.49241,4208.10167
23/08/2013,333.51631,640.23167,1151.61618
24/08/2013,1225.93201,1553.39705,3433.1332
25/08/2013,865.89034,1058.18261,2385.86256
26/08/2013,375.34138,725.4533,1300.96871
27/08/2013,2021.2589,1355.53154,4454.75199
28/08/2013,962.67624,1013.05048,2489.13341
29/08/2013,2106.80083,1479.74161,4710.12445
30/08/2013,1258.10879,1015.73132,2944.80453
31/08/2013,1521.65018,1336.88832,3670.05275
01/09/2013,915.42123,1055.44534,2459.07164
02/09/2013,2146.63926,1353.72394,4645.19159
03/09/2013,1113.37814,881.24702,2588.40302
04/09/2013,678.84987,873.30775,1914.19642
05/09/2013,2524.42763,1684.68858,5555.42362
06/09/2013,1240.34135,1046.79971,2948.62985
07/09/2013,396.33645,610.3924,1218.09978
08/09/2013,420.5428,724.86778,1369.69108
09/09/2013,1847.03824,1254.39284,4086.47861
10/09/2013,1111.16709,891.42088,2595.18665
11/09/2013,1657.46359,1026.97667,3568.38538
12/09/2013,814.52621,780.70912,2029.63188
13/09/2013,2256.04517,1519.38595,4978.60695
14/09/2013,1491.00338,1241.06161,3527.23491
15/09/2013,427.16897,550.17462,1205.15789
16/09/2013,1696.51293,1216.99119,3818.27472
17/09/2013,1960.7897,1358.90666,4365.40892
18/09/2013,2137.14701,1459.0273,4735.94034
19/09/2013,1619.87697,1293.71893,3777.49559
20/09/2013,1465.8533,1061.0037,3308.61401
21/09/2013,802.83786,838.65915,2069.66001
22/09/2013,860.12281,893.28368,2212.12021
23/09/2013,1648.45954,982.0385,3509.6412
24/09/2013,2314.84944,1516.55512,5065.9414
25/09/2013,1835.70597,1524.72311,4339.43304
26/09/2013,1217.88837,966.91521,2834.318
27/09/2013,798.43593,888.336,2112.58735
28/09/2013,498.22414,734.88945,1498.82244
29/09/2013,137.45558,374.41031,585.1726
30/09/2013,326.25012,518.43652,1018.67979
01/10/2013,284.89414,511.92848,948.76003
02/10/2013,240.3778,512.17039,880.74451
03/10/2013,350.65503,696.8763,1234.53982
04/10/2013,1835.67771,1254.46917,4069.13577
05/10/2013,1211.3964,922.12862,2779.57716
06/10/2013,381.35221,577.81758,1162.54951
07/10/2013,624.00746,755.55116,1712.34926
08/10/2013,2182.9409,1517.52348,4864.65288
09/10/2013,1530.23742,1239.1899,3585.52125
10/10/2013,992.89915,965.79004,2488.21416
11/10/2013,1966.45316,1560.3222,4575.50837
12/10/2013,1316.1997,1330.32973,3348.47454
13/10/2013,489.32369,712.72247,1463.00834
14/10/2013,1685.33389,1398.32372,3982.46635
15/10/2013,3349.24995,1845.24442,6980.68943
16/10/2013,2123.69767,1251.1261,4507.41713
17/10/2013,2393.99163,1859.63198,5530.36799
18/10/2013,521.68851,882.78737,1682.69862
19/10/2013,543.81596,719.38719,1553.2267
20/10/2013,384.98051,700.75865,1291.05385
21/10/2013,652.92434,906.42062,1907.55732
22/10/2013,604.01462,848.68578,1774.82853
23/10/2013,1210.73655,1110.51881,2966.9556
24/10/2013,2053.71779,1562.66152,4711.65158
25/10/2013,552.76659,784.55596,1632.11955
26/10/2013,1060.66576,923.5681,2549.8996
27/10/2013,246.28461,411.95666,789.58773
28/10/2013,2801.16652,1514.75165,5809.81371
29/10/2013,2084.32593,1295.95685,4491.87872
30/10/2013,1340.62215,1002.14427,3057.73625
31/10/2013,1056.60624,897.50791,2517.61487
01/11/2013,1258.66842,1250.45084,3180.38214
02/11/2013,1502.98508,1307.51537,3612.06034
03/11/2013,745.84112,778.08851,1921.69564
04/11/2013,1709.04745,1486.13653,4106.63939
05/11/2013,2252.87742,1512.1301,4966.49396
06/11/2013,2322.00258,1768.30486,5328.65918
07/11/2013,1002.26065,1286.25427,2823.03248
08/11/2013,1579.54322,1398.88874,3820.82121
09/11/2013,2349.54942,1776.61895,5379.21114
10/11/2013,1602.54682,1452.46632,3909.67053
11/11/2013,484.47815,431.19782,1174.05397
12/11/2013,1572.04516,1186.76267,3597.19831
13/11/2013,1038.76693,1170.9417,2763.69543
14/11/2013,1431.06774,1318.40595,3512.67922
15/11/2013,2086.9226,1526.39667,4726.30006
16/11/2013,1865.67111,1493.91878,4354.5746
17/11/2013,989.52156,1217.99078,2735.23599
18/11/2013,3352.30898,1873.8605,7013.99591
19/11/2013,1675.13919,1360.13878,3928.6497
20/11/2013,1643.12372,1299.54949,3818.97072
21/11/2013,1997.73298,1519.6156,4582.76343
22/11/2013,3075.63104,1914.14253,6630.04432
23/11/2013,1417.84419,1466.11629,3640.1137
24/11/2013,988.84668,1237.41205,2753.62242
25/11/2013,2415.27578,1551.17822,5254.54945
26/11/2013,3175.43776,1920.51479,6789.4515
27/11/2013,3334.52382,1955.07513,7067.94036
28/11/2013,3142.4763,1768.1166,6586.51313
29/11/2013,1326.28931,1155.234,3188.8493
30/11/2013,2436.80325,1703.60385,5439.98338
01/12/2013,1645.90962,1493.80928,4017.50223
02/12/2013,1693.1655,1263.2085,3859.35935
03/12/2013,1753.49946,1409.49577,4098.15745
04/12/2013,2846.94398,1875.75259,6241.00582
05/12/2013,861.37271,895.08938,2215.84244
06/12/2013,2452.98281,1604.24533,5365.43319
07/12/2013,1760.59618,1456.43979,4155.98297
08/12/2013,555.62391,870.40727,1722.35208
09/12/2013,1092.423,1127.0208,2802.04601
10/12/2013,567.54448,827.90452,1698.12725
11/12/2013,537.22793,854.57913,1678.31709
